Date,Station,Category,Value
2005-04-14,Changi,Max Humidity,100.0
2005-04-25,Changi,Max Temperature,35.0
2005-04-25,Changi,Min Humidity,43.88
2005-04-26,Changi,Min Humidity,43.88
2005-04-27,Changi,Max Temperature,35.0
2005-04-29,Changi,Max Temperature,35.0
2005-04-30,Changi,Max Temperature,35.0
2005-01-01,Changi,Max Humidity,100.0
2005-01-02,Changi,Max Humidity,100.0
2005-01-03,Changi,Max Humidity,100.0
2005-01-05,Changi,Max Humidity,100.0
2005-01-08,Changi,Max Humidity,100.0
2005-01-10,Changi,Max Humidity,100.0
2005-01-12,Changi,Max Humidity,100.0
2005-01-17,Changi,Max Humidity,100.0
2005-01-20,Changi,Min Temperature,23.0
2005-01-21,Changi,Min Temperature,23.0
2005-01-22,Changi,Max Humidity,100.0
2005-01-26,Changi,Max Temperature,32.0
2005-01-26,Changi,Min Temperature,23.0
2005-01-26,Changi,Min Humidity,52.23
2005-01-28,Changi,Max Temperature,32.0
2005-01-29,Changi,Max Temperature,32.0
2005-01-29,Changi,Min Humidity,52.23
2005-01-30,Changi,Max Temperature,32.0
2005-01-31,Changi,Max Temperature,32.0
2005-02-07,Changi,Min Temperature,24.0
2005-02-17,Changi,Max Humidity,100.0
2005-02-19,Changi,Max Temperature,35.0
2005-02-22,Changi,Min Humidity,43.88
2005-02-28,Changi,Max Humidity,100.0
2005-03-02,Changi,Max Humidity,100.0
2005-03-03,Changi,Min Temperature,23.0
2005-03-03,Changi,Max Humidity,100.0
2005-03-05,Changi,Min Humidity,52.23
2005-03-07,Changi,Max Humidity,100.0
2005-03-11,Changi,Max Humidity,100.0
2005-03-14,Changi,Max Humidity,100.0
2005-03-25,Changi,Max Temperature,35.0
2005-03-27,Changi,Max Humidity,100.0
2005-03-28,Changi,Max Humidity,100.0
2005-03-29,Changi,Max Humidity,100.0
2005-03-30,Changi,Max Humidity,100.0
2005-03-31,Changi,Max Humidity,100.0
2005-05-01,Changi,Max Temperature,35.0
2005-05-01,Changi,Max Humidity,100.0
2005-05-03,Changi,Max Temperature,35.0
2005-05-03,Changi,Min Humidity,49.62
2005-05-04,Changi,Max Temperature,35.0
2005-05-05,Changi,Max Humidity,100.0
